clause_id,hand_measure,representation,predicted_measure,cosine,top1,top5,cluster_id,cluster_nearest_reference,cluster_correct
31338295:p00151:c09:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,projected,Upgrade and harden government data centers for disaster resilience,0.4828,0,0,projected-c092,Upgrade and harden government data centers for disaster resilience,0
31338295:p00173:c08:split-1,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",raw,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",0.6083,1,1,raw-c015,Deploy crowdsourced disaster reporting and social media monitoring for situational awareness,0
31338295:p00173:c08:split-1,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",projected,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",0.4775,1,1,projected-c136,Develop sovereign cloud and data residency policies for government continuity,0
33706639:p00419:c01:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,raw,Deploy digital tools for climate-adapted livestock management and pastoral early warning,0.5843,0,1,raw-c041,Build digital business continuity capacity for SMEs and micro-enterprises,0
33706639:p00419:c01:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,projected,Deploy digital tools for climate-adapted livestock management and pastoral early warning,0.4525,0,1,projected-c003,Deploy digital agriculture extension services for advisory and market access,0
33118666:p00153:c09:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,raw,Deploy digital disease surveillance and epidemic intelligence platforms,0.6115,1,1,raw-c295,Develop interoperability standards across humanitarian and government digital response systems,0
33118666:p00153:c09:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,projected,Deploy digital disease surveillance and epidemic intelligence platforms,0.5142,1,1,projected-c209,Use anonymized mobile network data for real-time population displacement tracking during disasters,0
31167658:p00542:c02:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,raw,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.5681,1,1,raw-c179,Develop national fiber pooling and open access policies for resilient connectivity,0
31167658:p00542:c02:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,projected,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.3915,1,1,projected-c307,Establish infrastructure sharing and emergency roaming policies between telecom operators,1
32321387:p00153:c14:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,raw,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.5353,1,1,raw-c210,Develop national fiber pooling and open access policies for resilient connectivity,0
32321387:p00153:c14:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,projected,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.3766,1,1,projected-c220,Establish infrastructure sharing and emergency roaming policies between telecom operators,1
31866361:p00176:c06:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,raw,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.5145,1,1,raw-c006,Develop national fiber pooling and open access policies for resilient connectivity,0
31866361:p00176:c06:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,projected,Establish infrastructure sharing and emergency roaming policies between telecom operators,0.3865,1,1,projected-c307,Establish infrastructure sharing and emergency roaming policies between telecom operators,1
32971756:p00315:c03:split-1,Establish emergency power backup for critical digital infrastructure,raw,Establish emergency power backup for critical digital infrastructure,0.5185,1,1,raw-c307,Deploy climate-resilient fiber-to-the-premises in hazard-prone areas,0
32971756:p00315:c03:split-1,Establish emergency power backup for critical digital infrastructure,projected,Establish emergency power backup for critical digital infrastructure,0.3953,1,1,projected-c319,Upgrade and harden government data centers for disaster resilience,0
31866361:p00159:c14:split-1,Establish emergency power backup for critical digital infrastructure,raw,Establish emergency power backup for critical digital infrastructure,0.5585,1,1,raw-c162,"Implement AI and satellite-based measurement, reporting, and verification for climate commitments",0
31866361:p00159:c14:split-1,Establish emergency power backup for critical digital infrastructure,projected,Establish emergency power backup for critical digital infrastructure,0.5016,1,1,projected-c263,"Implement AI and satellite-based measurement, reporting, and verification for climate commitments",0
31167658:p00236:c29:split-1,Develop national fiber pooling and open access policies for resilient connectivity,raw,Develop national fiber pooling and open access policies for resilient connectivity,0.4463,1,1,raw-c233,Develop national fiber pooling and open access policies for resilient connectivity,1
31167658:p00236:c29:split-1,Develop national fiber pooling and open access policies for resilient connectivity,projected,Develop national fiber pooling and open access policies for resilient connectivity,0.2680,1,1,projected-c260,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,0
31167658:p00558:c05:split-1,Develop national fiber pooling and open access policies for resilient connectivity,raw,Develop national fiber pooling and open access policies for resilient connectivity,0.5900,1,1,raw-c101,Develop national fiber pooling and open access policies for resilient connectivity,1
31167658:p00558:c05:split-1,Develop national fiber pooling and open access policies for resilient connectivity,projected,Develop national fiber pooling and open access policies for resilient connectivity,0.3775,1,1,projected-c307,Establish infrastructure sharing and emergency roaming policies between telecom operators,0
33706639:p00221:c02:split-1,Deploy smart grid and digital energy management systems for resilient power supply,raw,Deploy smart grid and digital energy management systems for resilient power supply,0.4361,1,1,raw-c194,Monitor climate vulnerability of digital infrastructure using geospatial and climate projection data,0
33706639:p00221:c02:split-1,Deploy smart grid and digital energy management systems for resilient power supply,projected,Deploy smart grid and digital energy management systems for resilient power supply,0.2535,1,1,projected-c275,Monitor climate vulnerability of digital infrastructure using geospatial and climate projection data,0
32626249:p00167:c02:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,raw,Develop national emergency telecommunications plans and spectrum sharing mandates,0.3967,1,1,raw-c271,Develop national fiber pooling and open access policies for resilient connectivity,0
32626249:p00167:c02:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,projected,Develop national emergency telecommunications plans and spectrum sharing mandates,0.2580,1,1,projected-c278,Establish infrastructure sharing and emergency roaming policies between telecom operators,0
32971756:p00181:c01:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,raw,Develop national emergency telecommunications plans and spectrum sharing mandates,0.4148,1,1,raw-c233,Develop national fiber pooling and open access policies for resilient connectivity,0
32971756:p00181:c01:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,projected,Develop national emergency telecommunications plans and spectrum sharing mandates,0.2918,1,1,projected-c239,Incorporate resilience standards and climate screening in telecom infrastructure procurement,0
31747152:p00280:c06:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,raw,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,0.5391,1,1,raw-c111,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,0
31747152:p00280:c06:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,projected,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,0.4390,1,1,projected-c165,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,0
31747152:p00301:c07:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,raw,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,0.6055,1,1,raw-c258,Deploy digital platforms for emergency cash mobilization via mobile money,0
31747152:p00301:c07:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,projected,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,0.5167,1,1,projected-c107,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,1
31167658:p00509:c10:split-1,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,raw,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,0.4638,0,1,raw-c282,Develop cybersecurity governance and data protection frameworks for health sector digital systems,0
31167658:p00509:c10:split-1,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,projected,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,0.3643,0,1,projected-c258,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,0
